Item1,Item2.Item1.Item1,Item2.Item1.Item2.Value.IsInvalid,Item2.Item1.Item2.Value.ElementType,Item2.Item1.Item2.Value.Size.Width,Item2.Item1.Item2.Value.Size.Height,Item2.Item1.Item2.Value.Rows,Item2.Item1.Item2.Value.Cols,Item2.Item1.Item2.Value.Step,Item2.Item1.Item2.Value.Depth,Item2.Item1.Item2.Value.Channels,Item2.Item1.Item2.Value.ElementSize,Item2.Item1.Item2.Value.Data,Item2.Item1.Item2.Value.IsClosed,Item2.Item1.Item2.Timestamp,Item2.Item2
Lick1,True,False,6,10,3,3,10,80,F64,1,8,619601552,False,2023-08-28T14:12:50.7272448+02:00,2188
Lick2,True,False,6,10,3,3,10,80,F64,1,8,621029488,False,2023-08-28T14:12:50.8270848+02:00,2189
Lick1,True,False,6,10,3,3,10,80,F64,1,8,621029488,False,2023-08-28T14:12:50.8270848+02:00,2189
Lick1,True,False,6,10,3,3,10,80,F64,1,8,618472304,False,2023-08-28T14:12:53.9288192+02:00,2220
Lick1,True,False,6,10,3,3,10,80,F64,1,8,623838288,False,2023-08-28T14:12:55.6293504+02:00,2237
Lick1,True,False,6,10,3,3,10,80,F64,1,8,623809792,False,2023-08-28T14:12:55.8301440+02:00,2239
Lick1,True,False,6,10,3,3,10,80,F64,1,8,620029008,False,2023-08-28T14:12:56.3325056+02:00,2244
Lick1,True,False,6,10,3,3,10,80,F64,1,8,623833264,False,2023-08-28T14:12:57.9319936+02:00,2260
Lick1,True,False,6,10,3,3,10,80,F64,1,8,621289472,False,2023-08-28T14:12:58.1312896+02:00,2262
Lick1,True,False,6,10,3,3,10,80,F64,1,8,624173840,False,2023-08-28T14:12:58.7343872+02:00,2268
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622612704,False,2023-08-28T14:13:01.0374272+02:00,2291
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622895824,False,2023-08-28T14:13:02.6330368+02:00,2307
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622894752,False,2023-08-28T14:13:02.9341184+02:00,2310
pump1_on,True,False,6,10,3,3,10,80,F64,1,8,622347344,False,2023-08-28T14:13:05.7321472+02:00,2338
pump1_off,True,False,6,10,3,3,10,80,F64,1,8,621503024,False,2023-08-28T14:13:07.7354624+02:00,2358
Lick1,True,False,6,10,3,3,10,80,F64,1,8,620966816,False,2023-08-28T14:13:08.0372096+02:00,2361
Lick2,True,False,6,10,3,3,10,80,F64,1,8,619774192,False,2023-08-28T14:13:08.3386368+02:00,2364
Lick1,True,False,6,10,3,3,10,80,F64,1,8,621280384,False,2023-08-28T14:13:08.5398656+02:00,2366
Lick1,True,False,6,10,3,3,10,80,F64,1,8,623064368,False,2023-08-28T14:13:08.6400256+02:00,2367
Lick1,True,False,6,10,3,3,10,80,F64,1,8,621031920,False,2023-08-28T14:13:08.9403904+02:00,2370
Lick1,True,False,6,10,3,3,10,80,F64,1,8,619271712,False,2023-08-28T14:13:09.6334592+02:00,2377
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622609664,False,2023-08-28T14:13:12.8325376+02:00,2409
Lick2,True,False,6,10,3,3,10,80,F64,1,8,622609664,False,2023-08-28T14:13:12.8325376+02:00,2409
Lick1,True,False,6,10,3,3,10,80,F64,1,8,619775712,False,2023-08-28T14:13:12.9421824+02:00,2410
Lick2,True,False,6,10,3,3,10,80,F64,1,8,623836608,False,2023-08-28T14:13:13.0336640+02:00,2411
Lick1,True,False,6,10,3,3,10,80,F64,1,8,623836608,False,2023-08-28T14:13:13.0336640+02:00,2411
Lick1,True,False,6,10,3,3,10,80,F64,1,8,619262896,False,2023-08-28T14:13:13.1426816+02:00,2412
Lick1,True,False,6,10,3,3,10,80,F64,1,8,619274448,False,2023-08-28T14:13:13.5355008+02:00,2416
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622874464,False,2023-08-28T14:13:13.6365824+02:00,2417
Lick1,True,False,6,10,3,3,10,80,F64,1,8,619292080,False,2023-08-28T14:13:13.9375488+02:00,2420
Lick2,True,False,6,10,3,3,10,80,F64,1,8,625054288,False,2023-08-28T14:13:14.0382976+02:00,2421
Lick1,True,False,6,10,3,3,10,80,F64,1,8,621275664,False,2023-08-28T14:13:15.2344832+02:00,2433
Lick1,True,False,6,10,3,3,10,80,F64,1,8,623878208,False,2023-08-28T14:13:15.3443968+02:00,2434
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622662848,False,2023-08-28T14:13:15.9384832+02:00,2440
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622482896,False,2023-08-28T14:13:21.0433792+02:00,2491
Lick1,True,False,6,10,3,3,10,80,F64,1,8,619269280,False,2023-08-28T14:13:23.5437696+02:00,2516
pump2_on,True,False,6,10,3,3,10,80,F64,1,8,622896432,False,2023-08-28T14:13:23.6437760+02:00,2517
